IncLevel1	IncLevel2	IncLevelDifference
0.538,0.44,0.355,0.25	0.548,0.515,0.333,0.583	-0.099
0.025,0.032,0.028,0.01	0.035,0.035,0.032,0.03	-0.009
0.067,0.082,0.043,0.032	0.051,0.044,0.128,0.098	-0.024
0.084,0.097,0.123,0.1	0.127,0.138,0.137,0.06	-0.014
0.268,0.274,0.213,0.223	0.41,0.283,0.356,0.282	-0.088
0.036,0.069,0.074,0.034	0.058,0.07,0.049,0.085	-0.012
1.0,1.0,1.0,1.0	1.0,0.967,1.0,0.952	0.02
0.062,0.081,0.057,0.036	0.116,0.12,0.079,0.078	-0.039
0.019,0.018,0.022,0.01	0.016,0.023,0.021,0.032	-0.006
0.095,0.09,0.173,0.091	0.129,0.147,0.079,0.114	-0.005
0.043,0.036,0.05,0.03	0.033,0.041,0.034,0.01	0.01
0.021,0.027,0.039,0.011	0.017,0.01,0.018,0.019	0.008
0.147,0.197,0.281,0.09	0.285,0.235,0.398,0.175	-0.095
0.072,0.018,0.066,0.045	0.105,0.008,0.04,0.059	-0.003
0.105,0.257,0.171,0.179	0.177,0.226,0.237,0.269	-0.049
NA,NA,0.143,NA	NA,0.0,0.0,0.0	0.143
0.68,0.818,0.517,0.8	0.778,0.697,1.0,1.0	-0.165
0.765,0.7,0.81,0.545	0.733,0.733,0.44,0.714	0.05
0.204,0.698,0.553,0.316	1.0,0.675,0.431,0.652	-0.247
0.537,0.573,0.555,0.506	0.547,0.54,0.561,0.59	-0.017
0.037,0.028,0.046,0.076	0.09,0.076,0.06,0.033	-0.018
0.014,0.023,0.037,0.04	0.042,0.07,0.055,0.027	-0.02
0.041,0.055,0.082,0.037	0.064,0.079,0.066,0.078	-0.018
0.021,0.026,0.027,0.023	0.015,0.019,0.033,0.015	0.004
0.046,0.078,0.079,0.038	0.106,0.084,0.08,0.12	-0.037
0.033,0.048,0.063,0.038	0.064,0.081,0.045,0.057	-0.016
0.196,0.146,0.188,0.095	0.195,0.188,0.145,0.144	-0.012
1.0,0.958,1.0,1.0	0.979,1.0,1.0,1.0	-0.005
1.0,0.969,0.988,0.959	0.969,0.977,1.0,1.0	-0.007
0.581,0.35,0.534,0.606	0.789,0.405,0.528,0.778	-0.107
0.439,0.31,0.216,0.305	0.163,0.346,0.235,0.239	0.072
0.776,0.884,0.911,0.828	0.874,0.836,0.854,0.903	-0.017
0.061,0.091,0.107,0.07	0.093,0.09,0.087,0.121	-0.015
0.097,0.035,0.083,0.056	0.129,0.167,0.165,0.05	-0.06
0.024,0.0,0.068,0.031	0.047,0.038,0.049,0.029	-0.01
0.004,0.003,0.003,0.003	0.019,0.009,0.004,0.007	-0.006
0.95,0.955,0.957,0.993	0.985,0.945,0.993,0.985	-0.013
0.257,0.258,0.256,0.273	0.27,0.223,0.244,0.256	0.013
0.779,0.838,0.818,0.669	0.808,0.825,0.808,0.866	-0.051
0.985,0.99,0.994,0.993	0.993,0.991,0.973,0.966	0.01
1.0,1.0,1.0,1.0	0.985,1.0,1.0,1.0	0.004
0.039,0.163,0.104,0.01	0.058,0.087,0.21,0.116	-0.039
0.129,0.049,0.216,0.195	0.123,0.099,0.209,0.257	-0.025
0.344,0.214,0.328,0.195	0.284,0.271,0.203,0.358	-0.009
0.0,0.0,0.0,0.0	0.0,0.01,0.013,0.0	-0.006
0.884,0.903,0.861,0.897	0.843,0.928,0.914,0.807	0.013
0.072,0.077,0.089,0.05	0.068,0.119,0.072,0.052	-0.006
0.022,0.039,0.053,0.043	0.076,0.08,0.051,0.026	-0.019
0.585,0.598,0.519,0.611	0.466,0.48,0.434,0.578	0.089
0.046,0.05,0.097,0.082	0.075,0.09,0.066,0.071	-0.007
0.029,0.029,0.049,0.023	0.018,0.017,0.017,0.021	0.014
0.122,0.195,0.208,0.134	0.141,0.216,0.19,0.158	-0.011
0.007,0.0,0.026,0.0	0.023,0.009,0.023,0.017	-0.01
0.037,0.044,0.052,0.02	0.039,0.043,0.041,0.05	-0.005
0.053,0.02,0.05,0.097	0.055,0.0,0.101,0.043	0.005
0.111,0.21,0.166,0.08	0.093,0.13,0.095,0.119	0.032
0.026,0.036,0.046,0.023	0.079,0.018,0.053,0.063	-0.02
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.5	0.125
0.245,0.31,0.355,0.311	0.258,0.376,0.338,0.279	-0.008
0.08,0.109,0.129,0.097	0.087,0.131,0.123,0.104	-0.007
0.419,0.323,0.465,0.388	0.394,0.515,0.459,0.464	-0.059
1.0,0.92,1.0,1.0	0.956,0.957,0.985,0.98	0.011
0.031,0.036,0.046,0.025	0.042,0.036,0.045,0.057	-0.01
0.71,0.716,0.735,0.615	0.663,0.747,0.685,0.707	-0.007
0.043,0.143,0.087,0.182	0.083,0.152,0.102,0.135	-0.004
0.059,0.0,0.053,0.3	0.0,0.304,0.111,0.037	-0.01
0.19,0.24,0.285,0.091	0.336,0.194,0.227,0.285	-0.059
0.506,0.799,0.456,0.61	0.573,0.279,0.695,0.532	0.073
0.018,0.011,0.012,0.016	0.011,0.005,0.024,0.013	0.001
0.973,0.975,0.83,0.892	1.0,0.861,0.78,0.923	0.026
0.047,0.027,0.089,0.049	0.014,0.098,0.023,0.065	0.003
0.034,0.031,0.041,0.024	0.0,0.025,0.005,0.011	0.022
0.168,0.219,0.218,0.124	0.251,0.163,0.177,0.184	-0.011
1.0,1.0,1.0,1.0	0.968,1.0,1.0,1.0	0.008
0.992,1.0,1.0,0.989	1.0,0.99,0.994,1.0	-0.001
0.029,0.018,0.026,0.022	0.04,0.02,0.022,0.022	-0.002
1.0,1.0,1.0,1.0	1.0,0.985,1.0,1.0	0.004
1.0,1.0,1.0,1.0	0.992,0.994,1.0,0.991	0.006
1.0,0.991,0.984,0.985	0.978,0.982,0.978,0.976	0.012
0.031,0.041,0.034,0.025	0.035,0.035,0.093,0.017	-0.012
0.704,0.664,0.727,0.732	0.669,0.766,0.703,0.757	-0.017
0.285,0.22,0.315,0.206	0.32,0.373,0.345,0.345	-0.089
0.33,0.371,0.454,0.394	0.479,0.498,0.464,0.503	-0.099
0.479,0.482,0.435,0.495	0.428,0.426,0.405,0.389	0.061
0.091,0.151,0.106,0.14	0.081,0.101,0.116,0.113	0.019
1.0,1.0,1.0,1.0	1.0,0.99,1.0,1.0	0.002
0.518,0.502,0.495,0.441	0.474,0.449,0.452,0.482	0.025
0.246,0.226,0.267,0.168	0.234,0.228,0.286,0.226	-0.017
0.28,0.0,0.15,0.143	0.133,0.133,0.237,0.192	-0.03
1.0,1.0,1.0,0.429	1.0,1.0,0.714,1.0	-0.071
0.333,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.167
0.2,0.067,0.15,0.0	0.176,0.3,0.053,0.176	-0.072
0.493,0.555,0.511,0.375	0.509,0.585,0.566,0.458	-0.046
0.063,0.076,0.084,0.049	0.076,0.08,0.058,0.072	-0.003
0.219,0.174,0.254,0.162	0.207,0.242,0.241,0.256	-0.034
0.046,0.076,0.111,0.042	0.093,0.104,0.111,0.083	-0.029
0.875,1.0,0.933,0.887	0.975,0.853,0.942,0.91	0.004
0.055,0.067,0.1,0.055	0.093,0.098,0.12,0.108	-0.035
0.0,1.0,0.5,NA	0.333,0.0,1.0,0.333	0.084
0.099,0.109,0.134,0.117	0.113,0.074,0.196,0.107	-0.008
0.1,0.093,0.104,0.053	0.111,0.256,0.107,0.154	-0.07
0.455,0.5,0.429,0.263	0.556,0.52,0.684,0.68	-0.198
0.882,0.873,0.892,0.893	0.886,0.902,0.911,0.903	-0.015
0.993,0.994,0.984,0.998	0.997,0.991,0.993,0.987	0.0
0.02,0.017,0.013,0.016	0.021,0.016,0.021,0.014	-0.002
0.037,0.038,0.063,0.067	0.05,0.051,0.069,0.041	-0.002
0.022,0.028,0.018,0.013	0.02,0.024,0.026,0.023	-0.003
0.982,0.983,0.984,0.987	0.992,0.987,0.986,0.976	-0.001
0.061,0.054,0.115,0.047	0.104,0.112,0.112,0.108	-0.04
1.0,0.818,1.0,1.0	1.0,1.0,0.833,0.889	0.024
1.0,1.0,0.923,1.0	0.944,0.875,0.902,0.706	0.124
0.204,0.169,0.245,0.098	0.273,0.227,0.19,0.194	-0.042
NA,1.0,NA,0.0	1.0,1.0,1.0,0.0	-0.25
0.021,0.027,0.016,0.026	0.0,0.0,0.0,0.023	0.017
0.393,0.386,0.355,0.301	0.419,0.388,0.379,0.358	-0.027
0.114,0.021,0.089,0.032	0.114,0.084,0.043,0.177	-0.04
0.102,0.064,0.094,0.07	0.134,0.087,0.117,0.064	-0.018
0.889,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.028
NA,1.0,1.0,NA	0.6,1.0,1.0,0.25	0.287
0.04,0.083,0.081,0.059	0.053,0.093,0.061,0.074	-0.004
0.036,0.132,0.183,0.037	0.214,0.115,0.166,0.132	-0.06
0.05,0.061,0.088,0.064	0.108,0.073,0.114,0.081	-0.028
0.2,0.286,0.583,1.0	0.231,0.455,0.444,0.125	0.203
1.0,0.0,0.111,0.333	0.111,0.0,0.048,0.0	0.321
1.0,1.0,0.795,0.5	0.818,1.0,0.778,0.846	-0.037
0.044,0.031,0.067,0.038	0.025,0.055,0.056,0.046	-0.0
0.065,0.051,0.103,0.093	0.116,0.154,0.076,0.12	-0.039
0.049,0.009,0.067,0.069	0.102,0.085,0.097,0.041	-0.033
0.005,0.003,0.005,0.008	0.007,0.01,0.029,0.011	-0.009
0.943,0.951,0.987,0.991	0.983,0.977,0.98,0.988	-0.014
1.0,1.0,0.985,1.0	1.0,1.0,1.0,1.0	-0.004
0.028,0.011,0.034,0.025	0.039,0.036,0.042,0.011	-0.007
1.0,1.0,0.872,0.862	1.0,1.0,1.0,1.0	-0.067
0.121,0.154,0.2,0.107	0.152,0.177,0.197,0.253	-0.049
0.171,0.133,0.088,0.034	0.099,0.136,0.187,0.162	-0.04
0.0,0.018,0.031,0.021	0.078,0.07,0.127,0.142	-0.087
