ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
385	269,259,395,313	0,0,0,0	363,403,366,394	1,0,0,0	488	149	0.135917996239228	0.518680611454859
386	66,55,142,86	4,18,13,4	96,79,61,84	11,12,12,8	207	149	0.475759299050783	0.769409775498395
387	1,3,14,6	42,63,77,73	7,8,3,3	70,80,49,51	171	149	0.902253244388337	0.999202115572178
388	3,0,5,2	47,82,132,83	1,1,0,1	70,116,72,90	160	149	0.0684373289019794	0.430125325986783
391	5,1,0,1	0,1,0,0	1,3,2,3	0,0,0,0	159	149	0.323212030955274	0.672561360740225
392	479,502,737,604	0,0,0,0	661,694,704,547	1,0,1,0	1795	149	0.00391329000197527	0.171460076753213
393	280,280,422,413	74,120,132,148	309,360,337,293	97,125,107,106	176	149	0.950893779894896	0.999202115572178
394	4,5,14,5	102,111,198,148	5,8,15,10	146,149,111,138	472	149	0.236665443578228	0.638803649864166
395	1,6,8,13	152,164,245,195	3,7,3,5	199,183,183,164	222	149	0.380351983941049	0.701020925845839
396	61,96,120,125	23,25,25,17	83,129,124,100	11,27,11,17	164	149	0.0794885161657116	0.452090935692485
398	52,60,83,77	0,0,2,1	91,120,121,71	0,0,0,2	689	149	0.263248692325748	0.656103289046786
400	13,18,30,20	0,0,0,0	31,44,15,31	2,0,3,2	207	149	0.0012213147453064	0.115585227495798
401	3,5,11,5	76,75,125,82	11,17,8,10	90,68,102,94	153	149	0.049915113287417	0.38521838868555
402	59,58,107,84	0,0,0,0	99,97,73,84	2,0,0,0	634	149	0.253122147388764	0.649480636927186
403	140,128,303,133	0,1,0,0	180,252,229,199	1,3,0,1	2771	149	0.282758958651042	0.664456043201308
404	118,118,281,157	4,3,2,1	264,227,234,235	3,4,5,4	1250	149	0.771376943908429	0.967697693153416
405	2,5,9,7	103,101,113,150	8,6,9,4	113,139,138,118	165	149	0.785050609973037	0.971861501024107
407	19,12,23,14	64,63,92,74	22,18,13,11	62,75,70,79	177	149	0.83501911127565	0.999202115572178
408	9,5,13,0	10,11,15,21	9,13,11,7	7,18,6,12	177	149	0.162804236298512	0.547388676382972
410	2,0,2,0	5,6,4,5	3,4,1,3	13,11,13,6	151	149	0.527195319687126	0.802244781818572
411	0,0,1,1	95,134,137,112	3,0,2,0	109,103,127,90	173	149	0.377410419390702	0.697235327443303
413	6,2,3,6	11,8,19,15	1,0,3,3	16,15,19,11	182	149	0.0358539201346526	0.345475426673505
414	8,9,9,9	1,0,3,0	7,21,14,14	1,2,1,1	170	149	0.999202115572178	0.999202115572178
415	35,71,70,48	11,12,33,21	55,41,51,45	21,15,37,21	185	149	0.0570121823550287	0.402534558073566
416	179,233,297,267	39,32,67,56	258,261,273,232	36,71,56,38	185	149	0.837927314627817	0.999202115572178
418	0,1,0,1	0,0,6,0	0,0,0,0	7,7,6,0	153	149	0.0421749367885046	0.366859928094125
419	0,1,1,6	2,3,2,2	0,0,1,0	2,0,1,1	251	149	0.27929446363516	0.664456043201308
420	2432,2509,3469,3888	0,0,1,0	2780,3202,3080,2416	0,2,0,0	204	149	0.999202115572178	0.999202115572178
422	382,498,696,449	3,4,13,4	575,744,683,527	7,14,7,5	2688	149	0.605701275175834	0.856420872265379
423	14,13,25,28	0,0,0,0	28,7,15,12	0,1,0,0	220	149	0.327059433097683	0.672889233660103
424	56,65,106,97	3,5,1,13	92,101,112,100	11,18,13,8	354	149	0.0460579296677902	0.375769177910316
425	236,269,272,336	173,179,239,233	316,374,305,297	222,212,188,202	175	149	0.0475704228201147	0.380241960785106
426	2901,2912,4388,4325	4,6,6,10	3022,3846,3742,3156	3,6,15,8	236	149	0.568936218572868	0.830495986642673
428	27,35,53,46	7,15,8,25	39,57,46,30	9,10,17,10	361	149	0.493072439680465	0.777075268446864
429	22,37,48,45	14,23,12,6	55,57,48,30	16,12,12,11	177	149	0.322672661150068	0.672561360740225
430	137,148,215,162	0,0,5,1	146,139,168,146	2,2,1,3	213	149	0.248680318773916	0.648332519780885
431	34,36,62,43	2,0,0,0	36,42,40,35	0,0,0,0	213	149	0.401547151620261	0.715946164833111
432	379,421,566,440	2,0,4,0	479,545,485,531	3,3,0,2	189	149	0.548117021891774	0.817062670131687
433	1,1,3,2	126,159,220,192	3,2,0,0	165,184,182,167	153	149	0.431141937728757	0.738654471155857
434	422,434,637,588	3,1,0,0	488,557,568,427	0,0,0,3	2021	149	0.322418990976297	0.672561360740225
436	54,48,67,57	11,10,12,10	62,71,61,51	4,4,6,7	155	149	0.00719800238987733	0.194821401005419
437	338,301,480,366	24,9,13,17	440,419,437,387	20,17,22,13	293	149	0.907941688843576	0.999202115572178
438	22,23,39,25	4,4,7,4	35,36,45,26	12,11,7,4	352	149	0.191437979881459	0.580695205640426
439	22,25,40,25	13,15,17,13	39,39,43,26	14,30,23,14	352	149	0.793327657789767	0.976593776446716
440	9,9,9,12	68,70,91,94	11,28,20,8	67,106,86,111	384	149	0.262428808117891	0.656103289046786
441	51,77,90,58	8,4,17,8	75,106,73,91	12,8,9,11	254	149	0.648755845128949	0.889197924505473
442	232,220,387,282	0,0,3,1	298,340,315,240	0,0,0,0	1957	149	0.0366653327898853	0.349799102342212
443	0,3,5,2	0,0,6,0	0,7,0,2	0,3,1,0	167	149	0.999202115572178	0.999202115572178
444	6,4,9,11	4,10,11,9	6,8,4,7	1,5,5,9	167	149	0.36261275349126	0.688146696562983
445	420,472,539,502	1,2,2,2	419,545,532,448	3,2,1,3	238	149	0.478793493260838	0.770105645856657
447	37,37,43,43	12,19,22,22	56,75,37,36	17,29,5,22	440	149	0.22646808838239	0.62963983209487
