refseq_mrna	ensembl_transcript_id
NM_021342	ENSMUST00000057262
NM_021366	ENSMUST00000063694
NM_021416	ENSMUST00000016023
NM_021430	ENSMUST00000062153
NM_021500	ENSMUST00000114449
NM_021531	ENSMUST00000034703
NM_022030	ENSMUST00000035371
NM_022430	ENSMUST00000025636
NM_023045	ENSMUST00000022696
NM_023277	ENSMUST00000034472
NM_023557	ENSMUST00000007249
NM_023716	ENSMUST00000075774
NM_023792	ENSMUST00000112460
NM_023821	ENSMUST00000062122
NM_023831	ENSMUST00000239014
NM_023907	ENSMUST00000060271
NM_024263	ENSMUST00000030947
NM_025583	ENSMUST00000034435
NM_025593	ENSMUST00000043870
NM_025642	ENSMUST00000099554
NM_025680	ENSMUST00000029178
NM_025697	ENSMUST00000022497
NM_025745	ENSMUST00000073192
NM_025768	ENSMUST00000210317
NM_025771	ENSMUST00000199100
NM_025799	ENSMUST00000121465
NM_025827	ENSMUST00000034141
NM_025945	ENSMUST00000000793
NM_026029	ENSMUST00000017430
NM_026046	ENSMUST00000072222
NM_026126	ENSMUST00000033541
NM_026213	ENSMUST00000022751
NM_026246	ENSMUST00000007482
NM_026247	ENSMUST00000070801
NM_026293	ENSMUST00000029927
NM_026484	ENSMUST00000053917
NM_026507	ENSMUST00000122091
NM_026520	ENSMUST00000099556
NM_026532	ENSMUST00000008594
NM_026609	ENSMUST00000033910
NM_026925	ENSMUST00000057270
NM_027134	ENSMUST00000074792
NM_027159	ENSMUST00000042493
NM_027188	ENSMUST00000128302
NM_027215	ENSMUST00000006478
NM_027249	ENSMUST00000043598
NM_027355	ENSMUST00000171474
NM_027416	ENSMUST00000077698
NM_027627	ENSMUST00000099543
NM_027678	ENSMUST00000086614
NM_027708	ENSMUST00000031732
NM_027715	ENSMUST00000052168
NM_027717	ENSMUST00000022316
NM_027869	ENSMUST00000020756
NM_027957	ENSMUST00000193763
