IncLevel1	IncLevel2	IncLevelDifference
1.0,1.0,1.0,1.0	0.985,1.0,1.0,1.0	0.004
0.077,0.14,0.102,0.029	0.084,0.1,0.205,0.139	-0.045
0.121,0.074,0.219,0.202	0.115,0.092,0.221,0.263	-0.019
0.262,0.179,0.269,0.205	0.282,0.233,0.198,0.269	-0.017
0.0,0.0,0.0,0.0	0.0,0.01,0.013,0.0	-0.006
0.886,0.903,0.864,0.897	0.843,0.929,0.917,0.814	0.012
0.074,0.085,0.073,0.038	0.071,0.096,0.057,0.054	-0.002
0.022,0.039,0.053,0.043	0.076,0.08,0.051,0.026	-0.019
0.623,0.614,0.543,0.613	0.475,0.499,0.455,0.599	0.091
0.055,0.077,0.08,0.076	0.087,0.078,0.072,0.071	-0.005
0.024,0.023,0.05,0.024	0.013,0.016,0.012,0.015	0.016
0.159,0.231,0.24,0.143	0.208,0.258,0.226,0.213	-0.033
0.01,0.003,0.013,0.006	0.018,0.01,0.009,0.005	-0.002
0.022,0.028,0.029,0.015	0.027,0.041,0.045,0.035	-0.014
0.037,0.014,0.035,0.069	0.038,0.069,0.072,0.045	-0.017
0.111,0.21,0.166,0.08	0.093,0.13,0.095,0.119	0.032
0.026,0.036,0.046,0.023	0.079,0.018,0.053,0.063	-0.02
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.666	0.084
0.313,0.429,0.448,0.372	0.406,0.482,0.404,0.457	-0.047
0.08,0.124,0.143,0.082	0.118,0.163,0.116,0.141	-0.027
0.324,0.286,0.431,0.27	0.385,0.495,0.356,0.451	-0.094
1.0,0.911,1.0,1.0	0.954,0.956,0.983,0.979	0.01
0.03,0.024,0.03,0.018	0.041,0.035,0.049,0.048	-0.018
0.708,0.773,0.774,0.699	0.72,0.792,0.746,0.74	-0.011
0.017,0.174,0.103,0.141	0.131,0.151,0.207,0.195	-0.062
0.028,0.023,0.06,0.09	0.049,0.127,0.028,0.018	-0.005
0.19,0.24,0.285,0.091	0.336,0.194,0.227,0.285	-0.059
0.506,0.799,0.456,0.61	0.583,0.279,0.695,0.532	0.071
0.012,0.008,0.01,0.009	0.007,0.011,0.013,0.014	-0.001
0.974,0.978,0.847,0.907	1.0,0.873,0.782,0.929	0.03
