IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1,1,0,0	70,79,130,116	1,0,0,0	71,111,87,110	255	149
2649,2584,4048,4412	307,322,515,630	2738,3667,3470,2657	319,451,409,365	158	149
7,3,3,3	0,4,0,6	2,2,6,2	0,0,0,1	157	149
13,20,24,8	7,5,9,4	20,17,11,19	2,1,3,8	224	149
236,331,356,339	5,12,24,11	330,362,350,328	10,17,19,16	181	149
184,223,206,248	40,70,55,53	188,233,219,159	42,77,62,43	243	149
10,13,13,16	54,74,102,49	13,38,41,14	82,159,111,91	152	149
447,535,736,656	0,0,1,1	689,755,669,656	0,2,0,1	298	149
37,44,46,40	2,2,4,4	46,33,39,65	8,9,5,6	158	149
6,5,17,5	693,701,1050,982	9,9,8,9	755,841,818,771	186	149
87,88,129,105	6,12,20,14	97,100,86,99	13,8,10,20	152	149
345,357,609,518	67,86,110,97	441,511,496,537	79,112,106,83	152	149
1,4,6,4	65,93,126,104	7,6,10,10	118,111,100,88	170	149
6,5,13,4	18,15,16,22	2,5,5,10	18,28,38,18	153	149
4,1,3,6	1,1,0,0	5,1,10,9	0,1,3,0	223	149
0,0,0,2	0,0,0,0	2,2,1,3	1,2,0,2	156	149
2,2,2,3	0,0,0,0	2,1,3,2	1,2,0,2	182	149
2,2,2,3	0,0,0,2	2,1,3,2	2,2,1,3	175	149
2,2,5,0	18,34,26,13	1,9,4,4	39,55,37,31	167	149
5,2,10,3	2,3,2,5	4,6,0,0	4,4,7,5	179	149
65,86,120,70	5,5,9,7	86,98,87,89	6,6,11,11	233	149
2,0,3,3	16,26,43,23	1,2,1,0	30,29,42,25	152	149
0,1,0,1	5,7,12,5	1,0,1,0	7,8,25,13	152	149
30,51,72,47	37,48,65,41	36,49,45,46	37,59,64,56	152	149
40,68,107,85	19,23,67,40	56,87,82,56	39,29,30,24	152	149
550,726,988,701	1,0,0,0	855,957,839,767	0,0,0,0	298	149
16,12,20,24	13,15,29,27	25,19,26,18	20,24,18,26	168	149
331,308,402,382	4,5,11,9	356,389,349,329	6,3,6,5	204	149
437,455,657,705	48,55,78,89	555,631,523,452	66,82,82,58	152	149
73,67,79,69	644,664,902,1002	63,85,75,78	768,850,799,692	152	149
178,229,344,183	0,0,0,0	282,325,279,273	0,2,0,0	298	149
443,485,644,604	2,1,2,6	469,643,580,508	4,1,2,2	298	149
